Identifiant,Code Postal,Localité,Horaires Lundi,Horaires Mardi,Horaires Mercredi,Horaires Jeudi,Horaires Vendredi,Horaires Samedi,Horaires Dimanche,Accès sur rendezvous,Téléphone,Adresse (Structure),Code Officiel Département
379,60100,Creil,09:00-12:00/13:00-16:30,09:00-12:00/13:00-16:30,09:00-12:00/13:00-16:30,09:00-12:00/13:00-16:30,09:00-12:00/13:00-16:30,fermé,fermé,oui,33392043471,71 Boulevard Laennec,Hauts-de-France
290,59530,Le Quesnoy,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,,,non précisé,33327149272,90 Rue du 8 Mai 1945,Hauts-de-France
94,50300,Avranches,,,,,,,,oui,33279461156,59 Rue de la Liberté,Normandie
1206,68130,Altkirch,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé,non précisé,oui,33970818161,Rue de Hirtzbach,Grand Est
801,76480,Duclair,,,,,,,,non précisé,33279461156,,Normandie
891,84600,Valréas,fermé,fermé,Ouvert,fermé,Ouvert,Ouvert,fermé,oui,33490353031,44 Cours Victor Hugo,Provence-Alpes-Côte d'Azur
467,84240,La Tour-d'Aigues,14h 18h,9h 17h,9h 17h,9h 17h,9h 17h,fermé,fermé,oui,33972502700,Salle Polyvalente du Pays d'Aigues - Quartier St Christophe,Provence-Alpes-Côte d'Azur
958,6560,Valbonne,14h 16h,14h 16h,14h 16h,14h 16h,14h 16h,14h 16h,fermé,oui,33648768298,1755 Route des Dolines,Provence-Alpes-Côte d'Azur
409,13009,Marseille,17h-19h30,17h-19h30,17h-19h30,17h-19h30,17h-19h30,15h,fermé,oui,33800730087,270 Boulevard de Sainte Marguerite,Provence-Alpes-Côte d'Azur
130,27130,Verneuil d'Avre et d'Iton,,,,,,,,oui,33279461156,101 Boulevard des Poissonniers,Normandie
1219,94000,Créteil,13h-19h,13h-19h,13h-19h,13h-19h,13h-19h,13h-19h,13h-19h,oui,33800089250,6 Rue Thomas Edison,Île-de-France
990,11570,Cazilhac,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,33809541919,1 Rue de la Mairie,Occitanie
1127,46110,Vayrac,fermé,fermé,fermé,18H30 / 20H00,fermé,fermé,14H00 / 17H00,oui,33809541919,Place du 11 Novembre 1918,Occitanie
1155,54700,Pont---Mousson,non renseigné,non renseigné,non renseigné,non renseigné,non renseigné,non renseigné,non renseigné,oui,33383851300,1 Place Colombe,Grand Est
577,59200,Tourcoing,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00,fermé,oui,33392043471,155 Rond Point P.coty-hopital Dron,Hauts-de-France
874,54000,Nancy,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,non précisé,non précisé,oui,33383851300,1 Pl de la Republique,Grand Est
1227,54150,Val de Briey,non renseigné,non renseigné,non renseigné,non renseigné,non renseigné,non renseigné,non renseigné,non précisé,33383851300,31 Avenue Albert de Briey,Grand Est
1308,88800,Vittel,13:30-18:00,fermé,13:30-18:00,fermé,13:30-18:00,fermé,fermé,oui,33329088800,1 Avenue Bouloumie,Grand Est
1298,40330,Amou,08:30 - 12:30 / 13:30 - 17:30,08:30 - 12:30 / 13:30 - 17:30,08:30 - 12:30 / 13:30 - 17:30,08:30 - 12:30 / 13:30 - 17:30,08:30 - 12:30 / 13:30 - 17:30,fermé,fermé,oui,,24 Avenue de la Digue - Salle De l'Etoile,Nouvelle-Aquitaine
1282,55120,Clermont-en-Argonne,14:00-18:00,14:00-18:00,fermé,14:00-18:00,fermé,fermé,fermé,oui,33372850117,11 Rue des Déportés,Grand Est
1470,67100,Strasbourg,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,fermé,fermé,oui,,21 b Avenue du Neuhof,Grand Est
1204,40100,Dax,08h30-12h30/13h30-17h30,08h30-12h30/13h30-17h30,08h30-12h30/13h30-17h30,08h30-12h30/13h30-17h30,08h30-12h30/13h30-17h30,fermé,fermé,oui,,98 Avenue Francis Planté,Nouvelle-Aquitaine
821,42700,Firminy,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,fermé,fermé,non précisé,33477407077,2 Rue Robert Plotton RDC BÃ¢timent L,Auvergne-Rhône-Alpes
1477,44500,La Baule-Escoublac,9h / 17h,9h / 17h,9h / 17h,9h / 17h,9h / 17h,fermé,fermé,oui,33800005157,Place des Salines,Pays de la Loire
1482,75012,Paris,9h-12h et 13h-16h,9h-12h et 13h-16h,9h-12h et 13h-16h,9h-12h et 13h-16h,9h-12h et 13h-16h,fermé,fermé,oui,0800 08 33 46,26 Avenue du Docteur Arnold Netter,Île-de-France
1275,29260,Lesneven,fermé,8h30-12h30 / 13h30-17h00,8h30-12h30 / 13h30-17h00,8h30-12h30 / 13h30-17h00,fermé,fermé,fermé,non précisé,33257180061,Rue Jeanne d'Arc,Bretagne
1446,87700,Aixe-sur-Vienne,08:30-12:30,08:30-12:30,13:30-17:30,08:30-12:30,13:30-17:30,08:30-12:30,fermé,oui,33555087520,1 place Guillaume Lemaistre,Nouvelle-Aquitaine
674,31400,Toulouse,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,fermé,fermé,oui,33809541919,1 Avenue du Professeur Jean Poulhes,Occitanie
363,66800,Err,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,fermé,fermé,oui,33809541919,11 cami de la ribereta - bat la ribereta,Occitanie
1513,57070,Metz,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,fermé,oui,33387345345,Rue des Frères Lacretelle,Grand Est
1492,83700,Saint-RaphaÃ«l,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,,,Provence-Alpes-Côte d'Azur
822,95350,Saint-Brice-sous-Forêt,fermé,fermé,14h-17h,14h-17h,9h-17h,fermé,fermé,oui,130103980,5bis Rue de la Forêt,Île-de-France
1463,72000,Le Mans,9h30 - 11h45,9h30 - 11h45,9h30 - 11h45,9h30 - 11h45,9h30 - 11h45,fermé,fermé,oui,,3 Avenue Henri Pierre Klotz,Pays de la Loire
1089,39270,Orgelet,fermé,09:00-15:50,fermé,fermé,fermé,fermé,fermé,oui,33384868600,46.5255,2 PL DES SAVOIRS
223,2120,Guise,,,,,,,fermé,oui,33392043471,41 Rue André Godin,Hauts-de-France
154,76290,Montivilliers,,,,,,,,non précisé,33279461156,29 Avenue Pierre Mendès France,Normandie
736,56100,Lorient,8h-20h,8h-20h,8h-20h,8h-20h,8h-20h,8h-20h,fermé,non précisé,33297069794,1 Rampe de l'hôpital des armées,Bretagne
479,25000,BesanÃ§on,9H00-12h15 / 14h00-17h15,9H00-12h15 / 14h00-17h15,9H00-12h15 / 14h00-17h15,9H00-12h15 / 14h00-17h15,9H00-12h15 / 14h00-17h15,9H00-12h15 / 14h00-17h15,fermé,oui,363421013,12 Rue Pierre Semard,Bourgogne-Franche-Comté
448,29200,Brest,8h45-19h,8h45-19h,8h45-19h,8h45-19h,8h45-19h,fermé,fermé,non précisé,298145143,2 Avenue Maréchal Foch,Bretagne
1303,22290,Lanvollon,fermé,fermé,fermé,9h-13h / 13h30-17h30,fermé,fermé,fermé,non précisé,33257180060,Rue du Tregor,Bretagne
