Identifiant,Code Postal,Localité,Horaires Lundi,Horaires Mardi,Horaires Mercredi,Horaires Jeudi,Horaires Vendredi,Horaires Samedi,Horaires Dimanche,Accès sur rendezvous,Téléphone,Adresse (Structure),Code Officiel Département
465,51200,Epernay,13:00-18:00,13:00-18:00,13:00-18:00,13:00-18:00,13:00-18:00,En attente,fermé,oui,33803800794,10 Rue de la Côte Legris,Grand Est
96,46000,Cahors,9:00-12:30/14:00-17:30,9:00-12:30/14:00-17:30,9:00-12:30/14:00-17:30,9:00-12:30/14:00-17:30,9:00-12:30/14:00-17:30,fermé,fermé,oui,33809541919,52 Place Antonin Bergon,Occitanie
539,70000,Vesoul,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,oui,33384756475,32 z Place Pierre Renet,Bourgogne-Franche-Comté
830,80090,Amiens,14:00-20:00,14:00-20:00,14:00-20:00,14:00-20:00,14:00-20:00,fermé,fermé,non précisé,33322337443,65 Rue Alexandre Dumas,Hauts-de-France
709,69100,Villeurbanne,,,,,,,fermé,non précisé,33423101010,173 Rue Léon Blum,Auvergne-Rhône-Alpes
1163,11300,Limoux,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,oui,33809541919,9 Allee des Marronniers,Occitanie
336,12200,Villefranche-de-Rouergue,13:00-17:00,09:00-12:00/14:00-17:00,09:00-12:00/14:00-17:00,09:00-12:00/14:00-17:00,09:00-12:00/14:00-17:00,,,oui,33809541919,Rue des treize pierres,Occitanie
587,27700,Les Andelys,,,,,,,,oui,33279461156,28 Avenue du Général de Gaulle,Normandie
1055,20600,Bastia,fermé,fermé,fermé,fermé,fermé,16:00-20:00,16:00-20:00,oui,33767630667,Chemin d'Agliani,Corse
530,9110,Ax-les-Thermes,fermé,13:00-16:00,13:00-16:00,fermé,13:00-16:00,14:00-17:00,fermé,oui,33809541919,rue Abraham Sicre,Occitanie
928,17800,Pons,13:00-16:30,9:00-12:00,9:00-12:00,14:00-17:00,9:00-12:00/14:00-16:00,fermé,fermé,oui,+33 5 17 24 03 48,12 Cours Jules Ferry,Nouvelle-Aquitaine
1176,69700,Givors,fermé,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,fermé,non précisé,33423101010,9 Avenue du Professeur Fleming,Auvergne-Rhône-Alpes
1441,39240,Arinthod,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,33384868600,8 Rue des Ecoles,Bourgogne-Franche-Comté
121,3000,Moulins,fermé,12:00-14:00/16:00-20:00,12:00-14:00/16:00-20:00,12:00-14:00/16:00-20:00,fermé,09:00-13:00,fermé,oui,33470485000,3.33256,84
1285,55600,Montmédy,A préciser,A préciser,A préciser,A préciser,A préciser,fermé,fermé,oui,33372850117,Place Eugène Tronville,Grand Est
383,59360,Le Cateau-Cambrésis,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,fermé,oui,03 92 04 34 71,28 Boulevard Paturle,Hauts-de-France
1036,34220,Saint-Pons-de-Thomières,9:00-12:00 / 13:00-17:00,9:00-12:00 / 13:00-17:00,9:00-12:00 / 13:00-17:00,9:00-12:00 / 13:00-17:00,9:00-12:00 / 13:00-17:00,9:00-12:00 / 13:00-17:00,fermé,oui,33809541919,Chemin du camp Soulel,Occitanie
1473,77100,Meaux,8H30-17H30,8H30-17H30,8H30-17H30,8H30-17H30,8H30-17H30,fermé,fermé,oui,,6 Rue Saint Fiacre,Île-de-France
303,93000,Bobigny,9h/12h30 et 13h30/16h30,9h/12h30 et 13h30/16h30,9h/12h30 et 13h30/16h30,9h/12h30 et 13h30/16h30,9h/12h30 et 13h30/16h30,9h/12h30 et 13h30/16h30,fermé,oui,08 09 10 20 89/ 08 00 08 33 46,125 Rue de Stalingrad,Île-de-France
1480,75010,Paris,ouvert,ouvert,ouvert,ouvert,ouvert,fermé,fermé,oui,01 49 95 90 00,2 Rue Ambroise Paré,Île-de-France
964,36500,BuzanÃ§ais,fermé,14h-18h,14h-18h,14h-18h,14h-18h,fermé,fermé,oui,33805021400,12 Avenue de la Republique,Centre-Val de Loire
934,67210,Obernai,10:00-12h30/14:00-17:30,9:00-12:30/14:00-17:30,9:00-12:30/14:00-17:30,9:00-12:30/14:00-17:30,9:00-12:30/14:00-16:30,fermé,fermé,oui,09 70 81 81 61,Avenue de Gail,Grand Est
599,31500,Toulouse,08:00-12:00,08:00-12:00,08:00-12:00,08:00-12:00,08:00-12:00,08:00-12:00,fermé,oui,33809541919,22 Rue Xavier Darasse,Occitanie
1100,80500,Montdidier,fermé,13:00-17:00,fermé,09:00-17:00,fermé,fermé,fermé,oui,33392043171,25 Rue Amand de Vienne,Hauts-de-France
197,84200,Carpentras,9H - 17H,9H - 17H,13H - 17H,13H - 17H,13H - 17H,fermé,fermé,oui,33423100338,24 Rond Point de l'Amitie,Provence-Alpes-Côte d'Azur
1297,21290,Recey-sur-Ource,fermé,fermé,fermé,fermé,09:30-12:00/14:00-17:00,09:30-12:00/14:00-17:00,fermé,oui,,rue magnier,Bourgogne-Franche-Comté
1345,27000,Evreux,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non,,Rue Léon Schwartzenberg,Normandie
778,77120,Coulommiers,14:00-18:00,14:00-18:00,14:00-18:00,fermé,14:00-18:00,fermé,fermé,oui,33164753927,28 Avenue Victor Hugo,Île-de-France
1401,83340,Le Luc,Ouvert,Ouvert,Ouvert,Ouvert,Ouvert,fermé,fermé,oui,,Avenue Pierre Gaudin,Provence-Alpes-Côte d'Azur
1097,80130,Friville-Escarbotin,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,fermé,fermé,oui,33322260880,56 Rue Henri Barbusse,Hauts-de-France
1147,67160,Wissembourg,8:30-12:30,8:30-12:30/14:00-18:00,8:30-12:30/14:00-18:00,8:30-12:30/16:00-20:00,8:30-12:30/14:00-18:00,fermé,fermé,oui,33388541313,24 Route de Weiler,Grand Est
166,,10034,,13:30-17:00,13:30-17:00,13:30-17:00,13:30-17:00,13:30-17:00,,,https://partners.doctolib.fr/hopital-public/troyes/vaccination-covid-19-dans-l-aube?pid=practice-163754&enable_cookies_consent=1,4.37361,44
170,14000,Caen,,,,,,,,oui,33279461156,18 Rue des Roquemonts,Normandie
190,83170,Brignoles,ouvert,fermé,ouvert,fermé,ouvert,fermé,fermé,oui,33494726600,95 Rue Joseph Monnier,Provence-Alpes-Côte d'Azur
870,3100,MontluÃ§on,fermé,fermé,09:00-17:00,09:00-17:00,09:00-17:00,fermé,fermé,oui,33801902409,15 Rue Pablo Picasso,Auvergne-Rhône-Alpes
333,9400,Tarascon-sur-Ariège,13:00-16:00,13:00-16:00,13:00-16:00,13:00-16:00,13:00-16:00,09:00-13:00,,oui,33809541919,1 bis Rue des évadés,Occitanie
412,35600,Redon,8h30-12h30 / 13h30-17h30,8h30-12h30 / 13h30-17h30,8h30-12h30 / 13h30-17h30,8h30-12h30 / 13h30-17h30,8h30-12h30 / 13h30-17h30,fermé,fermé,non précisé,33805690821,Rue Lucien Poulard,Bretagne
445,92600,Asnières-sur-Seine,09:30-13:30/14:00-18:00,09:30-13:30/14:00-18:00,09:30-13:30/14:00-18:00,09:30-13:30/14:00-18:00,09:30-13:30/14:00-18:00,09:00-13:00,fermé,oui,171114240,27 Rue de la Concorde,Île-de-France
19,50000,Saint-Lô,,,,,,,,oui,33279461156,715 Rue Henri Dunant,Normandie
767,91080,Evry-Courcouronnes,9:00-13:00 / 14:00-18:00,9:00-13:00 / 14:00-18:00,9:00-13:00 / 14:00-18:00,fermé,fermé,fermé,fermé,oui,01 64 97 49 79,10 Rue du marquis de Raies,Île-de-France
791,91190,Gif-sur-Yvette,14h-18h,14h-18h,14h-18h,14h-18h,14h-18h,fermé,fermé,oui,170565286,1 Place du chapitre,Île-de-France
919,13400,Aubagne,8h30 / 17H30,8h30 / 17H30,8h30 / 17H30,8h30 / 17H30,8h30 / 17H30,fermé,fermé,oui,04 42 01 90 28,20-164 Avenue Antide Boyer,Provence-Alpes-Côte d'Azur
699,82300,Caussade,9:00-13:00/14:00-18:00,9:00-13:00/14:00-18:00,9:00-13:00/14:00-18:00,9:00-13:00/14:00-18:00,9:00-13:00/14:00-18:00,9:00-13:00,fermé,oui,33809541919,12 rue de la Solidarité,Occitanie
867,,6079,,9H 18H,9H 18H,9H 18H,9H 18H,9H 18H,9H 18H,fermé,https://partners.doctolib.fr/centre-de-sante/mandelieu-la-napoule/centre-de-vaccination-covid-19-centre-des-congres-mandelieu-la-napoule?speciality_id=5494&enable_cookies_consent=1,6.93937,93
1125,72000,Le Mans,9h00-12h30 / 13h30-17h,9h00-12h30 / 13h30-17h,9h00-12h30 / 13h30-17h,9h00-12h30 / 13h30-17h,9h00-12h30 / 13h30-17h,fermé,fermé,oui,33800710911,2 Rue Paul Courboulay,Pays de la Loire
1124,72000,Le Mans,8h30-12h30,8h30-12h30,8h30-12h30,8h30-12h30,8h30-12h30,fermé,fermé,oui,33800710911,84 Avenue Rubillard,Pays de la Loire
1161,16400,La Couronne,fermé,08:30-12:30/13:30-17:00,08:30-12:30/13:30-17:00,08:30-12:30/13:30-17:00,08:30-12:30/13:30-17:00,fermé,fermé,oui,33545699900,Place de la gare,Nouvelle-Aquitaine
823,42110,Feurs,- compléter,- compléter,- compléter,- compléter,- compléter,fermé,fermé,non précisé,33970771710,26 Rue du 8 Mai,Auvergne-Rhône-Alpes
688,69007,Lyon,08:30-20:00,08:30-20:00,08:30-20:00,08:30-20:00,08:30-20:00,08:30-20:00,fermé,oui,33423101010,350 Avenue Jean Jaurès,Auvergne-Rhône-Alpes
242,2100,Saint-Quentin,08:30-12:30/13:30-17:00,08:30-12:30/13:30-17:00,08:30-12:30/13:30-17:00,08:30-12:30/13:30-17:00,08:30-12:30/13:30-17:00,08:30-12:30/13:30-17:00,fermé,oui,33392043471,1 Boulevard du Docteur Schweitzer,Hauts-de-France
977,32000,Auch,fermé,fermé,fermé,09:00-12:00/14:00-17:00,fermé,09:00-12:00/14:00-17:00,fermé,oui,33809541919,3 Rue Camille Desmoulins,Occitanie
813,13500,Martigues,9 h 00 - 17 h 00,9 h 00 - 17 h 00,9 h 00 - 17 h 00,9 h 00 - 17 h 00,9 h 00 - 17 h 00,fermé,fermé,oui,04 13 29 53 29,5 Boulevard des Rayettes,Provence-Alpes-Côte d'Azur
1389,,76758,,fermé,fermé,fermé,fermé,fermé,fermé,fermé,https://partners.doctolib.fr/centre-de-sante/yvetot/centre-de-vaccination-covid-19-pole-de-sante-d-yvetot?speciality_id=5494&enable_cookies_consent=1,0.744011,28
936,81000,Albi,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,fermé,oui,33809541919,2 Rue Jacques Monod,Occitanie
164,9000,Saint-Jean-de-Verges,9:00-13:00/14:00-17:00,9:00-13:00/14:00-17:00,9:00-13:00/14:00-17:00,9:00-13:00/14:00-17:00,9:00-13:00/14:00-17:00,9:00-13:00/14:00-17:00,9:00-13:00/14:00-17:00,oui,33809541919,4 Chemin de Barrau,Occitanie
1134,19190,Beynat,fermé,fermé,08:30-12:30,8:30-12:30,14:00-16:00,fermé,fermé,oui,33800190019,144 rue des Lucioles,Nouvelle-Aquitaine
1447,87000,Limoges,fermé,09:00-13:00/14:00-20:00,fermé,09:00-13:00/14:00-20:00,fermé,09:00-14:00,fermé,oui,33555087520,44 Rue Emile Montégut,Nouvelle-Aquitaine
607,45400,Fleury-les-Aubrais,14h-17,9h-17h,9h-17h,9h-17h,9h-17h,en cours de définition,fermé,oui,33805021400,57 Boulevard de Lamballe,Centre-Val de Loire
712,41000,Blois,9h-13h/14h-18h,9h-13h/14h-18h,9h-13h/14h-18h,9h-13h/14h-18h,9h-13h/14h-18h,9h-13h/14h-18h,fermé,oui,08 05 02 14 00,25 Rue Jean-Baptiste Charcot,Centre-Val de Loire
1501,21230,Arnay-le-Duc,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non,33345810421,11 Rue Jean Moulin,Bourgogne-Franche-Comté
1519,46340,Salviac,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,,8 Boulevard Hugon,Occitanie
1461,92210,Saint-Cloud,Ouvert,fermé,Ouvert,fermé,Ouvert,fermé,fermé,non précisé,01 77 70 73 70/71,42 Rue Dailly,Île-de-France
927,29100,Douarnenez,fermé,14h-17h,14h-17h,13h30-18h,13h30-18h,fermé,fermé,non précisé,33257180061,Impasse Jean Quéré,Bretagne
194,,63113,,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,https://partners.doctolib.fr/centre-depistage-covid/clermont-ferrand/chu-de-clermont-ferrand-centre-de-depistage-covid-19?speciality_id=5494&enable_cookies_consent=1,3.09131,84
1496,21700,Nuits-Saint-Georges,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non,33345810421,3 Rue de la Berchère,Bourgogne-Franche-Comté
246,77000,Melun,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,ouvert,ouvert,oui,33181742700,8 Rue de Vaux,Île-de-France
513,21150,Venarey-les-Laumes,13:30-17:30,13:30-17:30,13:30-17:30,13:30-17:30,13:30-17:30,09:00-12:00,fermé,oui,33345810421,18 Avenue Jean Jaurès,Bourgogne-Franche-Comté
228,97200,Fort-de-France,7h30 - 17h00,7h30 - 17h00,7h30 - 17h00,7h30 - 17h00,7h30 - 17h00,9h00 - 12h00,Fermé,non précisé,596552301,La Meynard,Martinique
1109,,62510,,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-16:00,fermé,https://www.maiia.com/centre-de-vaccination/62800-lievin/centre-de-vaccination-lievin-pays-dartois,2.77861,32
535,21120,Is-sur-Tille,ouvert,ouvert,ouvert,ouvert,ouvert,ouvert matin,fermé,non précisé,33345810421,Rue des Capucins,Bourgogne-Franche-Comté
153,38500,Voiron,13:00-18:00,13:00-18:00,13:00-18:00,13:00-18:00,13:00-18:00,Fermé,fermé,oui,33476003134,Place Jacques Antoine GAU,Auvergne-Rhône-Alpes
1314,55130,Gondrecourt-le-ChÃ¢teau,fermé,14h00-18h00,fermé,fermé,fermé,fermé,fermé,oui,03 72 85 01 17,3 Place de la Corvee,Grand Est
1334,21510,Aignay-le-Duc,fermé,ouvert le 02/02/21,fermé,fermé,fermé,fermé,fermé,non,,,Bourgogne-Franche-Comté
1369,18520,Avord,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,,14 Rue Désiré Deschamps,Centre-Val de Loire
678,38000,Grenoble,09:00-12:20/14:00-16:30,09:00-12:20/14:00-16:30,09:00-12:20/14:00-16:30,09:00-12:20/14:00-16:30,09:00-12:20/14:00-16:30,fermé,fermé,oui,33476003134,33 Rue Joseph Chanrion,Auvergne-Rhône-Alpes
1294,97139,Les Abymes,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,fermé,fermé,https://partners.doctolib.fr/hopital-public/les-abymes/vaccination-covid-centre-de-l-institut-pasteur-de-guadeloupe?pid=practice-166188&enable_cookies_consent=1,-61.525,1
51,52200,Langres,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,fermé,fermé,oui,33325878942,10 Rue de la Charité,Grand Est
147,83580,Gassin,10H - 18H,10H - 18H,10H - 18H,10H - 18H,10H - 18H,10H - 14H,fermé,oui,33498125308,Route Départementale 559,Provence-Alpes-Côte d'Azur
215,30900,Nîmes,8:00-16:30,8:00-16:30,8:00-16:30,8:00-16:30,8:00-16:30,8:00-16:30,fermé,non précisé,33809541919,286 Rue du Professeur Robert Debre,Occitanie
613,75013,Paris,8h30-18h30,8h30-18h30,8h30-18h30,8h30-18h30,8h30-18h30,8h30-18h30,fermé,oui,3975,1 Place d'Italie,Île-de-France
974,95000,Cergy,fermé,fermé,12-18h00,10-18h00,9-17h00,10-12h00,fermé,non précisé,01.34.43.34.44,8 Les Linandes Pourpres,Île-de-France
459,92100,Boulogne-Billancourt,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,fermé,non précisé,33155184770,42 Rue Denfert Rochereau,Île-de-France
361,65300,Lannemezan,14:00-17:00,14:00-17:00,14:00-17:00,14:00-17:00,14:00-17:00,9:00-12:00,fermé,oui,33809541919,Salle des fêtes - Rue du Maréchal Juin,Occitanie
41,18000,Bourges,9h-3h/13h30-17h30,9h-3h/13h30-17h30,9h-3h/13h30-17h30,9h-3h/13h30-17h30,9h-3h/13h30-17h30,9h-3h/13h30-17h30,fermé,oui,33805021400,6 Rue Charles Cochet,Centre-Val de Loire
350,62300,Lens,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00,fermé,oui,03 92 04 34 71,99 Route de la Bassée,Hauts-de-France
210,11000,Carcassonne,9:00-16:40,9:00-16:40,9:00-16:40,9:00-16:40,9:00-16:40,9:00-16:40,9:00-16:40,oui,33809541919,60 Chemin de la Madeleine,Occitanie
1169,48500,La Canourgue,14h - 17h,10h - 12h,fermé,fermé,14h - 17h,fermé,fermé,oui,33809541919,5 Place du Pré Commun,Occitanie
152,83500,La Seyne-sur-Mer,fermé,fermé,10h - 18h,10h - 14h,fermé,fermé,fermé,oui,04 83 16 81 79,1361 Av a Combattants Fr Indochine,Provence-Alpes-Côte d'Azur
449,,29011,,8h45-19h,8h45-19h,8h45-19h,8h45-19h,8h45-19h,fermé,fermé,https://partners.doctolib.fr/hopital-public/brest/chru-de-brest-vaccination-covid-19?pid=practice-162933&?speciality_id=5494&enable_cookies_consent=1,-4.50595,53
1154,29140,Melgven,14h00-18h00,8h00-12h00 / 14h00-18h00,8h00-12h00 / 14h00-18h00,8h00-12h00 / 14h00-18h00,8h00-12h00 / 14h00-18h00,8h00-12h00,fermé,non précisé,33257180061,rue Per Jakez Hélias,Bretagne
1032,78120,Rambouillet,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,fermé,fermé,oui,800103078,64 rue Gambetta,Île-de-France
434,79000,NIORT,8:30-11:30/13:00-16:30,8:30-11:30/13:00-16:30,8:30-11:30/13:00-16:30,8:30-11:30/13:00-16:30,8:30-11:30/13:00-16:30,fermé,fermé,oui,33549773012,1 Rue de l'Angélique - Bessines,Nouvelle-Aquitaine
1108, Lestrem,62136,2021-02-08T16:39:34+01:00,,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,09:00-13:00,2021-01-13,50.6173,556 AV WILLY BRANDT
984,47000,Agen,8:30-18:30,8:30-18:30,8:30-18:30,8:30-18:30,8:30-18:30,8:30-18:30,fermé,oui,33553699777,1 Rue Docteur et Madame Delmas,Nouvelle-Aquitaine
1022,4800,Gréoux-les-Bains,fermé,14H-18H,14H-18H,14H-18H,fermé,fermé,fermé,oui,07 89 94 22 35,Route de Riez,Provence-Alpes-Côte d'Azur
1149,54200,Toul,08:30-12:00 / 13:00-17:00,08:30-12:00 / 13:00-17:00,08:30-12:00 / 13:00-17:00,08:30-12:00 / 13:00-17:00,08:30-12:00 / 13:00-17:00,fermé,fermé,oui,33383851300,7 Rue de Hamm,Grand Est
804,24300,Nontron,10:00-12:30/14:00-16:30,10:00-12:30/14:00-16:30,10:00-12:30/14:00-16:30,10:00-12:30/14:00-16:30,10:00-12:30/14:00-16:30,fermé,fermé,oui,33553608924,7 Rue de la Croizette,Nouvelle-Aquitaine
1315,25150,Pont-de-Roide-Vermondans,09:00-12:00/14:OO-17:00,09:00-12:00/14:OO-17:00,09:00-12:00/14:OO-17:00,09:00-12:00/14:OO-17:00,09:00-12:00/14:OO-17:00,09:00-14:00,fermé,oui,33363421013,Rue des Marronniers,Bourgogne-Franche-Comté
1234,30900,Nîmes,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,fermé,oui,809541919,123 Avenue de la Bouvine,Occitanie
764,23600,Boussac,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,33608898689,4 Impasse du Collège,Nouvelle-Aquitaine
1332,74130,Contamine-sur-Arve,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,fermé,fermé,oui,33450823190,558 Rte de Findrol,Auvergne-Rhône-Alpes
200,84300,Cavaillon,9h-13h et 14H - 17H,9h-13h et 14H - 17H,9h-13h et 14H - 17H,9h-13h et 14H - 17H,9h-13h et 14H - 17H,fermé,fermé,oui,33490788534,119 Avenue Georges Clémenceau,Provence-Alpes-Côte d'Azur
1137,34280,La Grande-Motte,fermé,fermé,9:00 12:30 / 13:30 16:30,9:00 12:30 / 13:30 16:30,9:00 12:30 / 13:30 16:30,fermé,fermé,oui,33809541919,Place du 1er Octobre 1974,Occitanie
312,93100,Montreuil,8h15-16h30,8h15-16h30,8h15-16h30,8h15-16h30,8h15-16h30,9h-16h30,fermé,oui,01 49 20 30 27,56 Boulevard de la Boissière,Île-de-France
1175,67000,Strasbourg,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,fermé,oui,33800609090,1 Place du Maréchal de Lattre de Tassigny,Grand Est
1302,22110,Rostrenen,fermé,13h30-17h30,fermé,13h30-17h30,fermé,fermé,fermé,non précisé,33257180060,Place du Bourk Kozh,Bretagne
1445,87120,Eymoutiers,fermé,fermé,09:00-12:30/14:00-17:30,09:00-12:30,09:00-12:30,09:00-12:30,fermé,oui,33555692020,2 Chemin de la Cote de Chateau,Nouvelle-Aquitaine
542,21200,Beaune,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,fermé,fermé,oui,33345810421,67 Rue des Blanches Fleurs,Bourgogne-Franche-Comté
212,63100,Clermont-Ferrand,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,fermé,fermé,oui,33473145000,11 Rue Vaucanson,Auvergne-Rhône-Alpes
205,86000,Poitiers,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,+335 49 61 70 69,1 Rue de la Providence,Nouvelle-Aquitaine
1052,20200,Bastia,8h30 - 11h30 / 14h - 16h30,8h30 - 11h30 / 14h - 16h30,8h30 - 11h30 / 14h - 16h30,8h30 - 11h30 / 14h - 16h30,8h30 - 11h30 / 14h - 16h30,fermé,fermé,oui,33495559767,6 bis Rue Favalelli,94
1112,6150,Cannes,8h-18h,8h-18h,8h-18h,8h-18h,8h-18h,fermé,fermé,oui,04 97 06 40 00,2 Avenue Maurice Chevalier,Provence-Alpes-Côte d'Azur
788,76140,Le Petit-Quevilly,,,,,,,,non précisé,33279461156,Rue guillaume lecointe,Normandie
123,33000,Bordeaux,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,oui,33557820005,1 PLACE AMELIE RABA LEON,Nouvelle-Aquitaine
1516,84310,Morières-lès-Avignon,13h - 17h,9h - 12h - 13h - 17h,13h - 17h,13h - 17h,13h - 17h,fermé,fermé,oui,04 84 51 22 12,2 - 134 Chemin du Clos Neuf,Provence-Alpes-Côte d'Azur
622,31370,Rieumes,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,fermé,fermé,oui,33809541919,380 Rue du Pigeonnier,Occitanie
591,31250,Revel,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,fermé,oui,33809541919,2 Rue du Padouvenc de Castres,Occitanie
1120,91490,Milly-la-Forêt,fermé,fermé,9h00-12h30 / 13h30-17h00,9h00-12h30 / 13h30-17h00,9h00-12h30 / 13h30-17h00,fermé,fermé,oui,01 60 91 97 97,11 Boulevard du Maréchal Lyautey,Île-de-France
318,93370,Montfermeil,14h - 16h30,14h - 16h30,14h - 16h30,14h - 16h30,14h - 16h30,fermé,fermé,oui,33646777575,10 Rue du Génèral Leclerc,Île-de-France
1309,88000,Epinal,14:00-18:30,14:00-18:30,14:00-18:30,14:00-18:30,14:00-18:30,fermé,fermé,oui,33329666220,7 Avenue de Saint Die,Grand Est
1313,55190,Void-Vacon,fermé,fermé,fermé,fermé,08h-12h,fermé,fermé,oui,03 72 85 01 17,1 Chemin des Dimes a Vacon,Grand Est
259,35400,Saint-Malo,fermé,9h00-17h00,9h00-17h00,9h00-17h00,9h00-17h00,fermé,fermé,non précisé,33805690821,1 Rue de la Marne,Bretagne
1340,38420,Le Versoud,13:00-17:30,fermé,13:00-17:30,13:00-17:00,13:00-17:30,fermé,fermé,oui,33476003134,4 Rue Paul Gauguin,Auvergne-Rhône-Alpes
1367,18160,Lignières,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,,2 Rue du Docteur Bonnet,Centre-Val de Loire
1370,18370,ChÃ¢teaumeillant,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,,5 a Place de la Mairie,Centre-Val de Loire
593,71200,Le Creusot,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,oui,33385218399,2 Avenue FranÃ§ois Mitterrand,Bourgogne-Franche-Comté
141,76410,Saint-Aubin-lès-Elbeuf,,,,,,,,oui,33279461156,4 rue du docteur villers,Normandie
86,72000,Le Mans,8h15-19h15,8h15-19h15,8h15-19h15,8h15-19h15,8h15-19h15,fermé,fermé,oui,33234374000,178 Avenue Bollée,Pays de la Loire
386,59210,Coudekerque-Branche,08:00-13:00/13:30-18:30,08:00-13:00/13:30-18:30,08:00-13:00/13:30-18:30,08:00-13:00/13:30-18:30,08:00-13:00/13:30-18:30,08:00-13:00/13:30-18:30,fermé,oui,03 92 04 34 71,300 Rue des Forts,Hauts-de-France
142,26000,Valence,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-17:00,fermé,oui,33475757700,179 a Boulevard Maréchal Juin,Auvergne-Rhône-Alpes
1072,39600,Arbois,fermé,fermé,fermé,fermé,08:30-12:30,08:30-12h30,fermé,oui,33384868600,6 Rue Notre Dame,Bourgogne-Franche-Comté
236,2300,Chauny,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,,oui,33392043471,94 Rue Anciens Combattants Afn Tom,Hauts-de-France
369,81000,Albi,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,,oui,33809541919,22 Boulevard Général Sibille,Occitanie
1232,57100,Thionville,8:00-17:00,8:00-17:00,8:00-17:00,8:00-17:00,8:00-17:00,8:00-12:00,fermé,oui,33387345345,3 Rue Paul Albert,Grand Est
1156,54340,Pompey,non renseigné,non renseigné,non renseigné,non renseigné,non renseigné,non renseigné,non renseigné,oui,33383851300,3 Rue de l'Avant-garde,Grand Est
344,34000,Montpellier,8:30-12:30/13:30-17:00,13:00-17:30,fermé,8:30-12:30,8:30-12:30,fermé,fermé,oui,33809541919,5 Rue Ecole de Médecine,Occitanie
1035,59000,Lille,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,fermé,oui,33320877530,51 Boulevard de Belfort,Hauts-de-France
